"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"69657.3919310974","0","CLICK User:5 Request:45"
"69751.4547239942","0","CLICK User:10 Request:24"
"69912.9101603695","0","CLICK User:15 Request:3"
"69913.6479636378","0","CLICK User:6 Request:41"
"69954.9560069785","0","CLICK User:2 Request:58"
"70049.1023300447","0","CLICK User:11 Request:20"
"70095.0550977848","0","CLICK User:7 Request:37"
"70164.7723383838","0","CLICK User:12 Request:16"
"70268.3447197898","0","CLICK User:8 Request:33"
"70329.8106323569","0","CLICK User:3 Request:54"
"70469.7616596523","0","CLICK User:13 Request:12"
"70563.5998429968","0","CLICK User:9 Request:29"
"70611.5006236826","0","CLICK User:1 Request:62"
"70674.8519714098","0","CLICK User:4 Request:50"
"70751.502774794","0","CLICK User:14 Request:8"
"70797.9391235478","0","CLICK User:5 Request:46"
"70908.1425153197","0","CLICK User:10 Request:25"
"71063.6469160187","0","CLICK User:15 Request:4"
"71141.8588116646","0","CLICK User:6 Request:42"
"71188.6826398327","0","CLICK User:2 Request:59"
"71235.3698584597","0","CLICK User:11 Request:21"
"71300.5901588051","0","CLICK User:7 Request:38"
"71361.1322109374","0","CLICK User:12 Request:17"
"71424.5779840734","0","CLICK User:8 Request:34"
"71487.6186777929","0","CLICK User:3 Request:55"
"71610.5250807016","0","CLICK User:13 Request:13"
"71704.7784006068","0","CLICK User:9 Request:30"
"71751.3256573112","0","CLICK User:1 Request:63"
"71799.6426920181","0","CLICK User:4 Request:51"
"71891.8667037291","0","CLICK User:14 Request:9"
"71939.5059986674","0","CLICK User:5 Request:47"
"72048.8763236668","0","CLICK User:10 Request:26"
"72205.1199244597","0","CLICK User:15 Request:5"
"72314.3578303946","0","CLICK User:6 Request:43"
"72330.3456165518","0","CLICK User:2 Request:60"
"72380.4857879982","0","CLICK User:16 Request:1"
"72380.8707531265","0","CLICK User:11 Request:22"
"72424.3279522956","0","CLICK User:7 Request:39"
"72486.0343982266","0","CLICK User:12 Request:18"
"72563.6492906221","0","CLICK User:8 Request:35"
"72628.0954702343","0","CLICK User:3 Request:56"
"72751.867625634","0","CLICK User:13 Request:14"
"72861.2189538056","0","CLICK User:9 Request:31"
"72907.951150216","0","CLICK User:1 Request:64"
"72972.1581932899","0","CLICK User:4 Request:52"
"73021.8186948341","0","CLICK User:14 Request:10"
"73079.7207466312","0","CLICK User:5 Request:48"
"73190.352125759","0","CLICK User:10 Request:27"
"73360.5002870477","0","CLICK User:15 Request:6"
"73439.598608203","0","CLICK User:6 Request:44"
"73485.9950077454","0","CLICK User:2 Request:61"
"73532.8266581367","0","CLICK User:16 Request:2"
"73579.5599720076","0","CLICK User:11 Request:23"
"73642.4925514276","0","CLICK User:7 Request:40"
"73689.0434398785","0","CLICK User:12 Request:19"
"73737.1325126517","0","CLICK User:8 Request:36"
"73783.5269566384","0","CLICK User:3 Request:57"
"73893.6987801522","0","CLICK User:13 Request:15"
"74002.2796193371","0","CLICK User:9 Request:32"
"74079.2695719707","0","CLICK User:1 Request:65"
"74126.2587842868","0","CLICK User:4 Request:53"
"74174.8007079112","0","CLICK User:14 Request:11"
"74222.0941488374","0","CLICK User:5 Request:49"
"74329.8346577568","0","CLICK User:10 Request:28"
"74485.750842635","0","CLICK User:15 Request:7"
"74579.9957815868","0","CLICK User:6 Request:45"
"74642.2729704474","0","CLICK User:2 Request:62"
"74704.7627561603","0","CLICK User:16 Request:3"
"74751.9980891426","0","CLICK User:11 Request:24"
"74829.3338957884","0","CLICK User:7 Request:41"
"74876.837698646","0","CLICK User:12 Request:20"
"74973.223971203","0","CLICK User:8 Request:37"
"75002.2516828256","0","CLICK User:3 Request:58"
"75050.9184826563","0","CLICK User:13 Request:16"
"75127.3829495089","0","CLICK User:9 Request:33"
"75233.2112042173","0","CLICK User:1 Request:66"
