"Vertical Axis: Request Hierarchy","Horizontal Axis: Time Since Start of Test [ms] (time values are fractions of a day)"
"59067.1535069401","0","CLICK User:3 Request:40"
"59114.1226049679","0","CLICK User:9 Request:17"
"59115.886516303","0","CLICK User:8 Request:21"
"59325.9051080514","0","CLICK User:13 Request:2"
"59475.3766190954","0","CLICK User:2 Request:44"
"59551.5164636846","0","CLICK User:12 Request:6"
"59653.0668003894","0","CLICK User:11 Request:10"
"59674.8455460121","0","CLICK User:7 Request:25"
"59677.4025749083","0","CLICK User:1 Request:48"
"59687.9388302145","0","CLICK User:6 Request:29"
"60022.5657171512","0","CLICK User:10 Request:14"
"60024.2156475194","0","CLICK User:5 Request:33"
"60030.0244863523","0","CLICK User:4 Request:37"
"60333.8471789012","0","CLICK User:3 Request:41"
"60386.8933062722","0","CLICK User:9 Request:18"
"60387.153115829","0","CLICK User:8 Request:22"
"60581.0816737881","0","CLICK User:13 Request:3"
"60737.1154713797","0","CLICK User:2 Request:45"
"60825.9616794872","0","CLICK User:12 Request:7"
"60922.6809552611","0","CLICK User:11 Request:11"
"60960.4234616411","0","CLICK User:7 Request:26"
"60960.8508902668","0","CLICK User:6 Request:30"
"60962.6614555761","0","CLICK User:1 Request:49"
"61291.9664370751","0","CLICK User:10 Request:15"
"61295.892355034","0","CLICK User:4 Request:38"
"61296.6136757605","0","CLICK User:5 Request:34"
"61596.4305519277","0","CLICK User:3 Request:42"
"61644.7665834624","0","CLICK User:8 Request:23"
"61645.9821010771","0","CLICK User:9 Request:19"
"61841.4295671657","0","CLICK User:13 Request:4"
"62003.7289655529","0","CLICK User:2 Request:46"
"62093.654361099","0","CLICK User:12 Request:8"
"62194.5470723234","0","CLICK User:11 Request:12"
"62228.5913433132","0","CLICK User:6 Request:31"
"62240.3811098897","0","CLICK User:7 Request:27"
"62243.4851356807","0","CLICK User:1 Request:50"
"62558.3307375658","0","CLICK User:10 Request:16"
"62560.4002743365","0","CLICK User:4 Request:39"
"62562.264757113","0","CLICK User:5 Request:35"
"62706.236127776","0","CLICK User:14 Request:1"
"62858.3671947133","0","CLICK User:3 Request:43"
"62905.2996959111","0","CLICK User:8 Request:24"
"62916.4432909769","0","CLICK User:9 Request:20"
"63104.837346646","0","CLICK User:13 Request:5"
"63271.4375709762","0","CLICK User:2 Request:47"
"63363.276896924","0","CLICK User:12 Request:9"
"63474.7550317149","0","CLICK User:11 Request:13"
"63493.467186472","0","CLICK User:6 Request:32"
"63496.8620313476","0","CLICK User:7 Request:28"
"63521.649259892","0","CLICK User:1 Request:51"
"63825.1470508123","0","CLICK User:10 Request:17"
"63828.1032924576","0","CLICK User:4 Request:40"
"63830.8757118572","0","CLICK User:5 Request:36"
"63974.8107650553","0","CLICK User:14 Request:2"
"64117.2213228218","0","CLICK User:3 Request:44"
